

Alimentador 0 
DE	PARA	Ia 	 Ib 	Ic 	 Ampacidade 	Carregamento 	Pa	Pb	Pc	Qa	Qb	Qc 
32	33	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6590479  	 1.3141415  	 1.0234605  	 0.2813423  	 0.5573073  	 0.2797980  
33	34	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6590253  	 1.3140747  	 1.0234836  	 0.2813548  	 0.5572043  	 0.2797626  
34	35	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6589988  	 1.3139962  	 1.0235107  	 0.2813695  	 0.5570834  	 0.2797210  
35	36	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6589714  	 1.3139151  	 1.0235387  	 0.2813847  	 0.5569585  	 0.2796781  
36	37	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6589465  	 1.3138414  	 1.0235641  	 0.2813985  	 0.5568449  	 0.2796390  
37	38	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6589202  	 1.3137635  	 1.0235910  	 0.2814131  	 0.5567249  	 0.2795978  
38	39	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6588960  	 1.3136919  	 1.0236157  	 0.2814266  	 0.5566146  	 0.2795598  
39	40	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6588680  	 1.3136087  	 1.0236444  	 0.2814421  	 0.5564864  	 0.2795158  
40	41	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6588471  	 1.3135470  	 1.0236657  	 0.2814537  	 0.5563912  	 0.2794830  
41	42	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6588220  	 1.3134727  	 1.0236914  	 0.2814676  	 0.5562768  	 0.2794437  
42	43	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6587987  	 1.3134038  	 1.0237152  	 0.2814805  	 0.5561705  	 0.2794072  
