

Alimentador 0 
DE	PARA	Ia 	 Ib 	Ic 	 Ampacidade 	Carregamento 	Pa	Pb	Pc	Qa	Qb	Qc 
144	145	 0.1311342 	 0.1923138  	  0.2332542   	   250.0000000  	    0.0933017  	 0.0040894  	 0.0059705  	 0.0079337  	 0.0017547  	 0.0025017  	 0.0017096  
145	146	 0.1311342 	 0.1923138  	  0.2332542   	   250.0000000  	    0.0933017  	 0.0040894  	 0.0059705  	 0.0079337  	 0.0017547  	 0.0025017  	 0.0017096  
146	147	 0.0000000 	 0.0000000  	  0.0000000   	   250.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
146	152	 0.1311342 	 0.1923138  	  0.2332542   	   99999.0000000  	    0.0002333  	 0.0040894  	 0.0059705  	 0.0079336  	 0.0017547  	 0.0025017  	 0.0017096  
147	148	 0.0000000 	 0.0000000  	  0.0000000   	   250.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
148	149	 0.0000000 	 0.0000000  	  0.0000000   	   250.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
149	150	 0.0000000 	 0.0000000  	  0.0000000   	   250.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
150	151	 0.0000000 	 0.0000000  	  0.0000000   	   99999.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
154	155	 0.0196285 	 0.0259520  	  0.0299584   	   250.0000000  	    0.0119834  	 0.0006125  	 0.0008066  	 0.0010104  	 0.0002627  	 0.0003386  	 0.0002574  
155	156	 0.0196285 	 0.0259520  	  0.0299584   	   250.0000000  	    0.0119834  	 0.0006125  	 0.0008066  	 0.0010104  	 0.0002627  	 0.0003386  	 0.0002574  
156	157	 0.0196285 	 0.0259520  	  0.0299584   	   250.0000000  	    0.0119834  	 0.0006125  	 0.0008066  	 0.0010104  	 0.0002627  	 0.0003386  	 0.0002574  
157	158	 0.0196285 	 0.0259520  	  0.0299584   	   250.0000000  	    0.0119834  	 0.0006125  	 0.0008066  	 0.0010104  	 0.0002627  	 0.0003386  	 0.0002574  
158	159	 0.0196285 	 0.0259520  	  0.0299584   	   99999.0000000  	    0.0000300  	 0.0006125  	 0.0008066  	 0.0010104  	 0.0002627  	 0.0003386  	 0.0002574  
