11;554,779,526
10;554,779,428
9;554,779,422
6;340,498,030
12;927,162,592
8;556,216,687
3;369,715,296
7;927,162,536
2;346,495,794
4;577,851,567
13;340,498,031
1;340,498,028
31;588,167,144
81;554,799,403
46;590,293,893
37;588,167,122
64;554,787,849
98;575,737,003
83;575,720,209
95;575,737,364
110;930,069,765
94;391,573,360
15;588,408,016
21;554,781,406
26;588,167,124
47;590,324,909
53;590,293,909
76;575,741,594
121;584,856,913
148;554,804,352
127;568,538,842
60;554,787,076
70;554,788,579
142;366,974,857
143;554,806,043
97;554,802,444
19;554,781,306
157;554,797,779
107;575,736,393
84;575,720,201
105;575,726,505
17;554,781,217
22;340,498,032
154;374,192,080
77;575,742,078
89;569,521,284
78;575,741,473
74;575,742,206
56;590,324,473
27;340,498,051
29;588,167,130
33;554,783,151
73;374,192,021
149;554,804,052
57;343,463,122
62;343,463,118
145;554,806,868
68;554,787,965
113;368,544,743
87;554,801,082
93;554,802,205
72;589,069,677
155;374,192,025
90;575,738,642
45;590,325,065
58;554,786,848
65;554,788,052
119;368,544,738
114;368,544,742
156;554,797,770
23;346,495,807
25;340,498,053
141;343,463,114
96;575,737,261
92;575,738,387
55;590,293,911
41;590,326,037
147;554,808,566
20;372,463,275
67;554,787,989
66;554,788,022
144;554,806,779
86;575,739,050
134;579,999,867
103;554,802,695
108;930,077,324
34;588,178,916
16;556,104,331
36;588,178,565
30;588,179,177
18;554,781,228
59;554,787,079
61;554,787,072
63;343,463,113
44;590,293,917
118;368,544,746
116;368,544,740
115;368,544,741
79;366,974,867
99;575,736,894
50;590,323,747
138;942,961,271
131;392,493,540
146;343,463,120
111;575,721,123
88;942,961,260
69;554,787,879
112;368,544,744
80;575,741,406
52;590,293,935
104;575,726,530
38;554,784,105
28;588,179,392
42;554,783,662
49;343,463,127
51;590,293,903
106;554,803,095
123;552,447,944
85;343,463,108
102;575,720,191
32;588,179,089
43;590,325,835
35;554,783,646
54;590,293,905
40;590,303,188
100;392,493,545
82;554,800,322
75;575,742,178
101;575,720,213
39;588,177,903
91;569,521,274
5;927,162,319
14;384,268,206
48;590,293,899
130;391,573,363
122;552,447,772
128;568,538,730
71;554,788,602
158;374,192,069
150;383,712,599
120;561,202,379
24;588,822,930
135;579,999,596
109;930,069,771
117;368,544,739
139;572,477,366
132;554,803,885
124;552,447,831
159;877,192,345
