DE	PARA	TIPO	FEAT_NUM
11	12	0	0
10	11	0	0
9	10	0	0
6	7	0	0
12	13	0	0
8	9	0	0
3	4	0	0
7	8	0	0
2	3	0	0
4	5	0	0
13	14	0	0
1	2	0	0
31	32	0	0
81	82	0	0
46	47	0	0
37	38	0	0
64	65	0	0
98	99	0	0
83	84	0	0
95	96	0	0
110	111	0	0
94	95	0	0
15	16	0	0
21	22	0	0
26	27	0	0
47	48	0	0
53	54	0	0
76	77	0	0
94	130	0	0
121	122	0	0
148	149	0	0
127	128	0	0
60	61	0	0
70	71	0	0
142	143	0	0
143	144	0	0
97	98	0	0
19	20	0	0
157	158	0	0
107	108	0	0
84	85	0	0
105	106	0	0
17	18	0	0
22	23	0	0
154	155	0	0
77	78	0	0
89	90	0	0
78	79	0	0
74	75	0	0
56	57	0	0
27	28	0	0
29	30	0	0
33	34	0	0
73	74	0	0
149	150	0	0
57	58	0	0
62	63	0	0
145	146	0	0
68	69	0	0
113	114	0	0
113	121	0	0
87	88	0	0
93	94	0	0
72	73	0	0
155	156	0	0
90	91	0	0
45	46	0	0
58	59	0	0
65	66	0	0
119	120	0	0
114	115	0	0
156	157	0	0
23	24	0	0
25	26	0	0
141	142	0	0
96	97	0	0
92	93	0	0
55	56	0	0
41	42	0	0
147	148	0	0
20	21	0	0
67	68	0	0
66	67	0	0
144	145	0	0
86	87	0	0
134	135	0	0
103	104	0	0
108	109	0	0
34	35	0	0
16	17	0	0
36	37	0	0
30	31	0	0
18	19	0	0
59	60	0	0
61	62	0	0
63	64	0	0
44	45	0	0
118	119	0	0
116	117	0	0
115	116	0	0
79	80	0	0
99	100	0	0
50	51	0	0
138	139	0	0
131	132	0	0
146	147	0	0
111	112	0	0
88	89	0	0
69	70	0	0
112	113	0	0
80	81	0	0
52	53	0	0
104	105	0	0
38	39	0	0
28	29	0	0
42	43	0	0
49	50	0	0
51	52	0	0
106	107	0	0
123	124	0	0
85	86	0	0
102	103	0	0
32	33	0	0
43	44	0	0
35	36	0	0
54	55	0	0
40	41	0	0
100	101	0	0
82	83	0	0
75	76	0	0
101	102	0	0
39	40	0	0
91	92	0	0
5	6	2	8480001912
0	1	2	84800LN071
14	15	2	8480005929
109	110	2	8480004173
97	127	2	8480070585
73	154	2	8480053538
48	49	2	8480004996
24	25	2	8480004091
85	141	2	8480001324
92	134	2	8480070915
117	118	2	8480001169
71	72	2	8480006137
88	138	2	8480070127
130	131	2	8480002080
122	123	2	8480070206
1	160	2	PNT_CONCT
128	129	2	CH_TRF
143	153	2	CH_TRF
150	151	2	CH_TRF
89	137	2	CH_TRF
135	136	2	CH_TRF
158	159	2	CH_TRF
124	125	2	CH_TRF
139	140	2	CH_TRF
132	133	2	CH_TRF
146	152	2	CH_TRF
101	126	2	CH_TRF
