1,1913.919530702034,0.02,11600,1
1,1934.8338965759103,0.02,11615,2
1,1959.4465344640694,0.02,11630,3
1,1986.609704775872,0.02,11645,4
1,1989.9253969266085,0.02,11700,5
1,2000.0,0.02,11715,6
1,1999.1073136517248,0.02,11730,7
1,1990.945609896066,0.02,11745,8
1,1978.4480010202133,0.02,11800,9
1,1956.130842313333,0.02,11815,10
1,1927.4373525473445,0.02,11830,11
1,1898.6163361601734,0.02,11845,12
1,1858.0628706242428,0.02,11900,13
1,1824.3958426321494,0.02,11915,14
1,1796.3399859720716,0.02,11930,15
1,1784.2249569597652,0.02,11945,16
1,1836.2558184020916,0.02,12000,17
1,1822.3554166932347,0.02,12015,18
1,1779.1238921124784,0.02,12030,19
1,1745.9669706051138,0.02,12045,20
1,1766.2437033730791,0.02,12100,21
1,1726.5829241854237,0.02,12115,22
1,1691.7681566026909,0.02,12130,23
1,1671.74647707709,0.02,12145,24
2,1818.2235541669322,0.02,11600,1
2,1838.0922017471148,0.02,11615,2
2,1861.474207740866,0.02,11630,3
2,1887.2792195370785,0.02,11645,4
2,1890.4291270802782,0.02,11700,5
2,1900.0,0.02,11715,6
2,1899.1519479691385,0.02,11730,7
2,1891.3983294012626,0.02,11745,8
2,1879.5256009692025,0.02,11800,9
2,1858.3243001976664,0.02,11815,10
2,1831.0654849199773,0.02,11830,11
2,1803.6855193521646,0.02,11845,12
2,1765.1597270930306,0.02,11900,13
2,1733.1760505005418,0.02,11915,14
2,1706.522986673468,0.02,11930,15
2,1695.013709111777,0.02,11945,16
2,1744.443027481987,0.02,12000,17
2,1731.237645858573,0.02,12015,18
2,1690.1676975068544,0.02,12030,19
2,1658.6686220748581,0.02,12045,20
2,1677.9315182044252,0.02,12100,21
2,1640.2537779761526,0.02,12115,22
2,1607.1797487725562,0.02,12130,23
2,1588.1591532232355,0.02,12145,24
3,1913.919530702034,0.02,11600,1
3,1934.8338965759103,0.02,11615,2
3,1959.4465344640694,0.02,11630,3
3,1986.609704775872,0.02,11645,4
3,1989.9253969266085,0.02,11700,5
3,2000.0,0.02,11715,6
3,1999.1073136517248,0.02,11730,7
3,1990.945609896066,0.02,11745,8
3,1978.4480010202133,0.02,11800,9
3,1956.130842313333,0.02,11815,10
3,1927.4373525473445,0.02,11830,11
3,1898.6163361601734,0.02,11845,12
3,1858.0628706242428,0.02,11900,13
3,1824.3958426321494,0.02,11915,14
3,1796.3399859720716,0.02,11930,15
3,1784.2249569597652,0.02,11945,16
3,1836.2558184020916,0.02,12000,17
3,1822.3554166932347,0.02,12015,18
3,1779.1238921124784,0.02,12030,19
3,1745.9669706051138,0.02,12045,20
3,1766.2437033730791,0.02,12100,21
3,1726.5829241854237,0.02,12115,22
3,1691.7681566026909,0.02,12130,23
3,1671.74647707709,0.02,12145,24
4,765.5678122808137,0.02,11600,1
4,773.9335586303641,0.02,11615,2
4,783.7786137856278,0.02,11630,3
4,794.6438819103488,0.02,11645,4
4,795.9701587706435,0.02,11700,5
4,800.0,0.02,11715,6
4,799.6429254606899,0.02,11730,7
4,796.3782439584263,0.02,11745,8
4,791.3792004080852,0.02,11800,9
4,782.4523369253332,0.02,11815,10
4,770.9749410189378,0.02,11830,11
4,759.4465344640694,0.02,11845,12
4,743.2251482496971,0.02,11900,13
4,729.7583370528597,0.02,11915,14
4,718.5359943888286,0.02,11930,15
4,713.6899827839061,0.02,11945,16
4,734.5023273608366,0.02,12000,17
4,728.9421666772939,0.02,12015,18
4,711.6495568449914,0.02,12030,19
4,698.3867882420454,0.02,12045,20
4,706.4974813492316,0.02,12100,21
4,690.6331696741695,0.02,12115,22
4,676.7072626410763,0.02,12130,23
4,668.698590830836,0.02,12145,24
5,669.8718357457119,0.02,11600,1
5,677.1918638015686,0.02,11615,2
5,685.8062870624243,0.02,11630,3
5,695.3133966715552,0.02,11645,4
5,696.473888924313,0.02,11700,5
5,700.0,0.02,11715,6
5,699.6875597781037,0.02,11730,7
5,696.830963463623,0.02,11745,8
5,692.4568003570746,0.02,11800,9
5,684.6457948096665,0.02,11815,10
5,674.6030733915705,0.02,11830,11
5,664.5157176560607,0.02,11845,12
5,650.322004718485,0.02,11900,13
5,638.5385449212523,0.02,11915,14
5,628.7189950902251,0.02,11930,15
5,624.4787349359178,0.02,11945,16
5,642.689536440732,0.02,12000,17
5,637.8243958426322,0.02,12015,18
5,622.6933622393674,0.02,12030,19
5,611.0884397117898,0.02,12045,20
5,618.1852961805777,0.02,12100,21
5,604.3040234648984,0.02,12115,22
5,592.1188548109418,0.02,12130,23
5,585.1112669769815,0.02,12145,24
6,765.5678122808137,0.02,11600,1
6,773.9335586303641,0.02,11615,2
6,783.7786137856278,0.02,11630,3
6,794.6438819103488,0.02,11645,4
6,795.9701587706435,0.02,11700,5
6,800.0,0.02,11715,6
6,799.6429254606899,0.02,11730,7
6,796.3782439584263,0.02,11745,8
6,791.3792004080852,0.02,11800,9
6,782.4523369253332,0.02,11815,10
6,770.9749410189378,0.02,11830,11
6,759.4465344640694,0.02,11845,12
6,743.2251482496971,0.02,11900,13
6,729.7583370528597,0.02,11915,14
6,718.5359943888286,0.02,11930,15
6,713.6899827839061,0.02,11945,16
6,734.5023273608366,0.02,12000,17
6,728.9421666772939,0.02,12015,18
6,711.6495568449914,0.02,12030,19
6,698.3867882420454,0.02,12045,20
6,706.4974813492316,0.02,12100,21
6,690.6331696741695,0.02,12115,22
6,676.7072626410763,0.02,12130,23
6,668.698590830836,0.02,12145,24
7,19.918584287,0.02,11600,1
7,19.918584287,0.02,11615,2
