68;0.99742962;0.99745162;0.99741563;-0.14581700;-120.14355614;119.85551827;
69;0.99739517;0.99741749;0.99738093;-0.14755090;-120.14525554;119.85380554;
70;0.99736706;0.99738963;0.99735260;-0.14896737;-120.14664385;119.85240635;
71;0.99728498;0.99730819;0.99727033;-0.15446652;-120.15208500;119.84693825;
72;0.99723621;0.99725986;0.99722119;-0.15692349;-120.15449311;119.84451126;
73;0.99721482;0.99723867;0.99719964;-0.15800075;-120.15554893;119.84344715;
74;0.99719166;0.99721572;0.99717631;-0.15916780;-120.15669276;119.84229435;
75;0.99714775;0.99717221;0.99713207;-0.16137968;-120.15886064;119.84010945;
76;0.99712030;0.99714500;0.99710440;-0.16276287;-120.16021631;119.83874314;
77;0.99707517;0.99710028;0.99705893;-0.16503667;-120.16244488;119.83649708;
78;0.99705582;0.99708111;0.99703945;-0.16601114;-120.16339995;119.83553450;
79;0.99693732;0.99696368;0.99692005;-0.17198537;-120.16925533;119.82963314;
80;0.99691606;0.99694262;0.99689863;-0.17305799;-120.17030662;119.82857359;
81;0.99688440;0.99691124;0.99686673;-0.17465345;-120.17187033;119.82699760;
82;0.99688086;0.99690773;0.99686316;-0.17483304;-120.17204635;119.82682019;
83;0.99685798;0.99688506;0.99684011;-0.17598608;-120.17317644;119.82568122;
84;0.99684407;0.99687128;0.99682610;-0.17668768;-120.17386409;119.82498817;
85;0.99681434;0.99684182;0.99679615;-0.17818747;-120.17533404;119.82350667;
86;0.99680954;0.99683706;0.99679134;-0.17850962;-120.17565279;119.82318634;
87;0.99673447;0.99676256;0.99671608;-0.18354729;-120.18063726;119.81817711;
88;0.99671128;0.99673958;0.99669272;-0.18471630;-120.18178301;119.81702234;
89;0.99665437;0.99668319;0.99663538;-0.18758906;-120.18459862;119.81418460;
90;0.99662384;0.99665293;0.99660462;-0.18912962;-120.18610852;119.81266283;
91;0.99659298;0.99662236;0.99657353;-0.19068730;-120.18763521;119.81112413;
92;0.99656326;0.99659290;0.99654358;-0.19218787;-120.18910593;119.80964184;
93;0.99653849;0.99656835;0.99651862;-0.19343823;-120.19033139;119.80840673;
94;0.99650715;0.99653730;0.99648705;-0.19501932;-120.19188101;119.80684492;
95;0.99648125;0.99651164;0.99646096;-0.19632561;-120.19316129;119.80555455;
96;0.99645617;0.99648678;0.99643568;-0.19759180;-120.19440227;119.80430381;
97;0.99643220;0.99646303;0.99641153;-0.19880225;-120.19558862;119.80310812;
98;0.99639994;0.99643101;0.99637919;-0.20096847;-120.19773195;119.80095411;
99;0.99637106;0.99640236;0.99635025;-0.20290734;-120.19965033;119.79902619;
100;0.99634547;0.99637700;0.99632446;-0.20419979;-120.20091707;119.79774948;
101;0.99631826;0.99635003;0.99629704;-0.20557411;-120.20226402;119.79639191;
102;0.99628452;0.99631660;0.99626305;-0.20727851;-120.20393450;119.79470828;
103;0.99624615;0.99627858;0.99622439;-0.20921785;-120.20583525;119.79279256;
104;0.99619789;0.99623075;0.99617576;-0.21165491;-120.20822378;119.79038521;
105;0.99614786;0.99618118;0.99612536;-0.21418213;-120.21070068;119.78788878;
106;0.99609801;0.99613178;0.99607513;-0.21670068;-120.21316908;119.78540093;
107;0.99592778;0.99596309;0.99590361;-0.22530581;-120.22160286;119.77690063;
108;0.99587842;0.99591418;0.99585388;-0.22780229;-120.22404964;119.77443455;
109;0.99583605;0.99587219;0.99581119;-0.22994495;-120.22614963;119.77231798;
110;0.99579212;0.99582866;0.99576693;-0.23216802;-120.22832845;119.77012198;
111;0.99574442;0.99578139;0.99571887;-0.23458048;-120.23069285;119.76773890;
112;0.99570032;0.99573769;0.99567444;-0.23681149;-120.23287943;119.76553506;
113;0.99565704;0.99569480;0.99563083;-0.23900246;-120.23502677;119.76337076;
114;0.99561354;0.99565170;0.99558700;-0.24120338;-120.23718386;119.76119664;
115;0.99556770;0.99560627;0.99554081;-0.24352361;-120.23945787;119.75890466;
116;0.99552569;0.99556464;0.99549849;-0.24564972;-120.24154163;119.75680444;
117;0.99547949;0.99551886;0.99545193;-0.24798824;-120.24383357;119.75449438;
118;0.99545835;0.99549790;0.99543063;-0.24905958;-120.24488358;119.75343608;
119;0.99543677;0.99547653;0.99540889;-0.25015051;-120.24595276;119.75235843;
120;0.99538916;0.99542934;0.99536092;-0.25256162;-120.24831585;119.74997666;
121;0.99534454;0.99538513;0.99531596;-0.25482108;-120.25053029;119.74774471;
122;0.99530075;0.99534173;0.99527184;-0.25703764;-120.25270267;119.74555514;
123;0.99525153;0.99529296;0.99522225;-0.25952997;-120.25514533;119.74309315;
124;0.99522023;0.99526194;0.99519071;-0.26111518;-120.25669896;119.74152723;
125;0.99522023;0.99526194;0.99519071;-0.26111518;-120.25669896;119.74152723;
126;0.99520634;0.99524817;0.99517671;-0.26181913;-120.25738889;119.74083184;
127;0.99516711;0.99520930;0.99513719;-0.26380603;-120.25933619;119.73886912;
